train_start,train_end,test_start,test_end,pair,reason,y,x,correlation,coint_pvalue,adf_pvalue,half_life,alpha,beta,gross_return,net_return,test_costs,number_of_trades
2015-01-02,2016-12-30,2017-01-03,2017-07-03,,no_pair_selected,,,,,,,,,,,,
2015-07-06,2017-07-03,2017-07-05,2018-01-02,VOO/XLB,,VOO,XLB,0.8244443106704705,0.006531837107523775,0.0012839989582801958,13.389613082206182,2.690242615659325,0.8189210050623275,0.018937744248968214,0.018021810614976763,0.0008999999999999999,3.0
2016-01-04,2018-01-02,2018-01-03,2018-07-03,QQQ/XLK,,QQQ,XLK,0.969226054672523,0.0019506171418572904,0.0003166097505651591,17.318432333722598,1.8510709977142765,0.9311192995613446,0.0034385242865020427,0.0023854432065091302,0.00105,4.0
2016-07-05,2018-07-03,2018-07-05,2019-01-03,,no_pair_selected,,,,,,,,,,,,
2017-01-03,2019-01-03,2019-01-04,2019-07-05,XLF/XLI,,XLF,XLI,0.7725361374458881,0.02077717551567831,0.004806830520246503,11.003281777016827,-1.250248395941389,1.0562121777682565,-0.0005326171305659599,-0.0011328694072170187,0.0006,2.0
2017-07-05,2019-07-05,2019-07-08,2020-01-03,QQQ/XLY,,QQQ,XLY,0.9010036654003295,0.00856414364364585,0.0017222658488958741,10.287046918577321,1.531784400601245,0.909074398633172,-0.004553147095030741,-0.005747349338143692,0.0012,4.0
2018-01-03,2020-01-03,2020-01-06,2020-07-06,SPY/XLK,,SPY,XLK,0.9369767132700559,0.008438424544302988,0.00171338180275252,13.810035737785473,3.363813722803264,0.613928138626109,0.012485282830950961,0.009450183656871447,0.003,10.0
2018-07-05,2020-07-06,2020-07-07,2021-01-04,,no_pair_selected,,,,,,,,,,,,
2019-01-04,2021-01-04,2021-01-05,2021-07-06,XLK/XLV,,XLK,XLV,0.8342897970115836,0.015195795755411814,0.003297483076012393,16.089563410912767,-5.601218459930093,2.0927831908348646,0.007588584757307615,0.006983321585380731,0.0006,2.0
2019-07-08,2021-07-06,2021-07-07,2022-01-03,,no_pair_selected,,,,,,,,,,,,
2020-01-06,2022-01-03,2022-01-04,2022-07-06,XLK/XLY,,XLK,XLY,0.8798540621810288,0.006955917937848456,0.0013790884665771446,12.57219022750668,-0.5618549774533415,1.080529223698814,0.027187242028538394,0.02595581736073216,0.0012,4.0
2020-07-07,2022-07-06,2022-07-07,2023-01-04,,no_pair_selected,,,,,,,,,,,,
2021-01-05,2023-01-04,2023-01-05,2023-07-07,,no_pair_selected,,,,,,,,,,,,
2021-07-07,2023-07-07,2023-07-10,2024-01-05,,no_pair_selected,,,,,,,,,,,,
2022-01-04,2024-01-05,2024-01-08,2024-07-09,IWM/XLF,,IWM,XLF,0.8273749056084841,0.005468437730561996,0.0010530545421983967,12.025235700699964,2.371271985597051,0.8043199498515448,0.01114626920314965,0.01084263931078655,0.0003,1.0
2022-07-07,2024-07-09,2024-07-10,2025-01-07,XLB/XLI,,XLB,XLI,0.8569853733770069,0.012004347695998844,0.0025655751713454726,12.084509353602344,0.5358367598048682,0.6752874870136709,-0.0156457814680363,-0.017268107731539306,0.00165,6.0
2023-01-05,2025-01-07,2025-01-08,2025-07-11,IWM/XLF,,IWM,XLF,0.7542351297464074,0.002349878904975873,0.00041017472888813016,10.271456973432928,2.892546621002156,0.6534473085367682,-0.047501532617862385,-0.04821836473260166,0.0007499999999999999,3.0
2023-07-10,2025-07-11,2025-07-14,2026-01-09,,no_pair_selected,,,,,,,,,,,,
